,Game,AppID,Review Score,Positive Reviews,Negative Reviews,Review Score Description,Total Review,Units Sold (Estimated),Engine,Is Free,Price,Initial Price,Discounted Percent,Currency,Windows,Mac,Linux,Publishers,Release Date,Required Age
127,i hate running backwards,575820,6,120,41,Mostly Positive,161,3220,Unity Engine,False,14.99,14.99,0.0,USD, True, False, True,devolver digital,"May 22, 2018",0
128,heavy bullets,297120,8,935,200,Very Positive,1135,22700,Unity Engine,False,9.99,9.99,0.0,USD, True, True, True,devolver digital,"Sep 18, 2014",0
129,tattletail,568090,8,2495,171,Very Positive,2666,53320,Unity Engine,False,4.99,4.99,0.0,USD, True, True, False,"['little flag software', ' llc']","Dec 28, 2016",0
130,little misfortune,714120,8,4385,491,Very Positive,4876,97520,Unity Engine,False,19.99,19.99,0.0,USD, True, True, True,killmonday games ab,"Sep 18, 2019",0
131,fract osc,243220,8,328,57,Very Positive,385,7700,Unity Engine,False,14.99,14.99,0.0,USD, True, True, False,phosfiend systems,"Apr 22, 2014",0
132,badiya,545050,5,145,122,Mixed,267,5340,Unity Engine,False,19.99,19.99,0.0,USD, True, False, False,semaphore,"Nov 11, 2016",0
133,space pirate trainer,418650,8,2402,129,Very Positive,2531,50620,Unity Engine,False,14.99,14.99,0.0,USD, True, False, False,i-illusions,"Oct 12, 2017",0
134,totally accurate battlegrounds,823130,8,13769,1792,Very Positive,15561,311220,Unity Engine,True,,,,, True, False, False,landfall,"Jun 5, 2018",0
135,fe,1225580,8,230,33,Very Positive,263,5260,Unity Engine,False,19.99,19.99,0.0,USD, True, False, False,electronic arts,"Jun 4, 2020",0
136,rimworld,294100,9,116771,2056,Overwhelmingly Positive,118827,2376540,Unity Engine,False,34.99,34.99,0.0,USD, True, True, True,ludeon studios,"Oct 17, 2018",0
137,darkwood,274520,8,11637,644,Very Positive,12281,245620,Unity Engine,False,14.99,14.99,0.0,USD, True, True, True,acid wizard studio,"Aug 17, 2017",0
138,ori and the will of the wisps,1057090,9,82306,2979,Overwhelmingly Positive,85285,1705700,Unity Engine,False,29.99,29.99,0.0,USD, True, False, False,xbox game studios,"Mar 10, 2020",0
139,gtfo,493520,8,25932,3830,Very Positive,29762,595240,Unity Engine,False,39.99,39.99,0.0,USD, True, False, False,10 chambers,"Dec 9, 2021",0
140,max: the curse of brotherhood,255390,8,1137,63,Very Positive,1200,24000,Unity Engine,False,14.99,14.99,0.0,USD, True, False, False,xbox game studios,"May 21, 2014",0
141,runner3,516130,6,160,48,Mostly Positive,208,4160,Unity Engine,False,19.99,19.99,0.0,USD, True, True, False,choice provisions,"May 22, 2018",0
142,inscryption,1092790,9,69837,2040,Overwhelmingly Positive,71877,1437540,Unity Engine,False,19.99,19.99,0.0,USD, True, True, True,devolver digital,"Oct 19, 2021",0
143,ylands,298610,5,2137,1446,Mixed,3583,71660,Unity Engine,True,,,,, True, False, False,bohemia interactive,"Dec 5, 2019",0
144,electronic super joy,244870,8,2280,248,Very Positive,2528,50560,Unity Engine,False,7.99,7.99,0.0,USD, True, True, True,2&30 software,"Aug 23, 2013",0
145,yooka-laylee,360830,6,1866,487,Mostly Positive,2353,47060,Unity Engine,False,39.99,39.99,0.0,USD, True, True, True,team17 digital ltd,"Apr 11, 2017",0
146,punch club,394310,8,6940,1488,Very Positive,8428,168560,Unity Engine,False,9.99,9.99,0.0,USD, True, True, True,tinybuild,"Jan 8, 2016",0
147,far: lone sails,609320,8,9837,601,Very Positive,10438,208760,Unity Engine,False,2.99,14.99,80.0,USD, True, True, False,assemble entertainment,"May 17, 2018",0
148,outer wilds,753640,9,35332,1702,Overwhelmingly Positive,37034,740680,Unity Engine,False,24.99,24.99,0.0,USD, True, False, False,annapurna interactive,"Jun 18, 2020",0
149,i am setsuna,441830,6,937,352,Mostly Positive,1289,25780,Unity Engine,False,39.99,39.99,0.0,USD, True, False, False,square enix,"Jul 19, 2016",0
150,umbrella corps,390340,4,338,608,Mostly Negative,946,18920,Unity Engine,False,19.99,19.99,0.0,USD, True, False, False,capcom,"Jun 21, 2016",17
151,house flipper,613100,8,55093,3859,Very Positive,58952,1179040,Unity Engine,False,24.99,24.99,0.0,USD, True, True, False,"['frozen district', ' playway s.a.']","May 17, 2018",0
152,verdun,242860,8,24047,3443,Very Positive,27490,549800,Unity Engine,False,19.99,19.99,0.0,USD, True, True, True,m2h,"Apr 28, 2015",0
153,wizard of legend,445980,8,12496,1114,Very Positive,13610,272200,Unity Engine,False,15.99,15.99,0.0,USD, True, True, True,"['contingent99', ' humble games']","May 15, 2018",0
154,raft,648800,8,169156,11831,Very Positive,180987,3619740,Unity Engine,False,19.99,19.99,0.0,USD, True, False, False,axolot games,"Jun 20, 2022",0
155,empyrion - galactic survival,383120,8,19898,4683,Very Positive,24581,491620,Unity Engine,False,19.99,19.99,0.0,USD, True, False, False,eleon game studios,"Aug 5, 2020",0
156,dropsy,274350,8,1162,69,Very Positive,1231,24620,Unity Engine,False,9.99,9.99,0.0,USD, True, True, True,devolver digital,"Sep 10, 2015",0
157,superliminal,1049410,8,14956,812,Very Positive,15768,315360,Unity Engine,False,19.99,19.99,0.0,USD, True, True, True,pillow castle,"Nov 5, 2020",0
158,armikrog,334120,5,600,399,Mixed,999,19980,Unity Engine,False,9.99,9.99,0.0,USD, True, True, True,versus evil,"Sep 30, 2015",0
159,black book,1138660,8,3201,191,Very Positive,3392,67840,Unity Engine,False,24.99,24.99,0.0,USD, True, True, False,hypetrain digital,"Aug 10, 2021",0
160,two point hospital,535930,8,19999,1646,Very Positive,21645,432900,Unity Engine,False,34.99,34.99,0.0,USD, True, True, True,sega,"Aug 29, 2018",0
161,adventure time: pirates of the enchiridion,728240,8,358,45,Very Positive,403,8060,Unity Engine,False,24.99,24.99,0.0,USD, True, False, False,outright games ltd.,"Jul 17, 2018",0
162,battletech,637090,8,15023,3118,Very Positive,18141,362820,Unity Engine,False,39.99,39.99,0.0,USD, True, True, True,paradox interactive,"Apr 24, 2018",0
163,osiris: new dawn,402710,5,7066,4437,Mixed,11503,230060,Unity Engine,False,34.99,34.99,0.0,USD, True, False, False,fenix fire entertainment,"Sep 28, 2016",0
164,thomas was alone,220780,8,3454,249,Very Positive,3703,74060,Unity Engine,False,9.99,9.99,0.0,USD, True, True, False,bithell games,"Nov 12, 2012",0
